optimizer_step,train_target_nll,train_target_nll_rolling32,learning_rate,optimizer_step_ms,finite_update
1,6.994647648276352,6.994647648276352,1.492537313432836e-06,321.1793228983879,True
2,6.494202405907387,6.74442502709187,2.985074626865672e-06,126.63507834076881,True
3,6.678648993095256,6.7224996824263314,4.477611940298508e-06,124.98779967427254,True
4,6.344067203692901,6.627891562742974,5.970149253731344e-06,122.43498861789703,True
5,6.534271897271622,6.609167629648704,7.462686567164179e-06,114.5779937505722,True
6,6.146126577728673,6.531994120995365,8.955223880597016e-06,120.33054977655411,True
7,6.459464501731003,6.521632746814743,1.0447761194029851e-05,119.16076019406319,True
8,6.4364041717800164,6.510979174935402,1.1940298507462688e-05,117.39129945635796,True
9,6.440701166788737,6.50317050736355,1.3432835820895523e-05,124.39310550689697,True
10,5.788945198059082,6.431747976433104,1.4925373134328359e-05,118.05262789130211,True
11,6.082365489728523,6.399985932187232,1.6417910447761194e-05,122.47466668486595,True
12,6.10721325731563,6.375588209281266,1.791044776119403e-05,124.01985377073288,True
13,5.584958772948294,6.314770560332576,1.9402985074626868e-05,121.58629670739174,True
14,5.647161109718734,6.267084171003016,2.0895522388059702e-05,119.96006965637207,True
15,5.717436061508354,6.230440963703372,2.238805970149254e-05,124.31395798921585,True
16,5.6813897401436995,6.196125262230892,2.3880597014925376e-05,121.7506006360054,True
17,5.332736609368351,6.145337694415449,2.537313432835821e-05,114.41359668970108,True
18,5.460249016050659,6.107277212284071,2.6865671641791047e-05,125.54826587438583,True
19,5.578320991845779,6.079437411208372,2.835820895522388e-05,124.08285215497017,True
20,5.698230215708414,6.060377051433374,2.9850746268656717e-05,119.99819800257683,True
21,5.476282514108194,6.032563025846461,3.1343283582089554e-05,118.47734823822975,True
22,5.178099179535769,5.993723760105066,3.283582089552239e-05,119.1859096288681,True
23,5.077805342701819,5.953901220217968,3.432835820895522e-05,115.22804945707321,True
24,5.11490319115775,5.918942969007126,3.582089552238806e-05,120.73909863829613,True
25,5.148544426887266,5.888127027322331,3.7313432835820896e-05,122.43865802884102,True
26,5.163348347532983,5.86025092425351,3.8805970149253736e-05,123.0490691959858,True
27,5.024146852285965,5.82928410677323,4.029850746268657e-05,137.75263726711273,True
28,5.402979147434235,5.81405892965398,4.1791044776119404e-05,135.9451711177826,True
29,5.189857147358082,5.792534730264466,4.3283582089552244e-05,117.29398369789124,True
30,5.600732246541089,5.7861413141403535,4.477611940298508e-05,119.67508122324944,True
31,4.8391021243686785,5.755591662857396,4.626865671641792e-05,117.31500178575516,True
32,4.732618185938621,5.723623741703685,4.776119402985075e-05,124.96678158640862,True
33,5.048069196742969,5.662793165093267,4.925373134328358e-05,117.36713349819183,True
34,4.75432864151432,5.608422109955984,5.074626865671642e-05,115.75370281934738,True
35,4.910054053789303,5.553153518102673,5.223880597014925e-05,115.21095782518387,True
36,4.580929033217892,5.498055450275329,5.373134328358209e-05,119.89893391728401,True
37,5.145216774372828,5.454647477684742,5.522388059701493e-05,119.08086016774178,True
38,4.807356848354228,5.412810923641791,5.671641791044776e-05,122.52576649188995,True
39,4.932328213982403,5.365087914649647,5.82089552238806e-05,116.60773679614067,True
40,4.915155331293742,5.317548888384451,5.9701492537313435e-05,117.73623898625374,True
41,4.977849650382995,5.271834778496771,6.119402985074628e-05,117.5638996064663,True
42,4.802001792298266,5.240992797066745,6.268656716417911e-05,117.54032969474792,True
43,4.814508606052999,5.201372269451886,6.417910447761194e-05,115.23078754544258,True
44,5.1203076688549185,5.170531469812488,6.567164179104478e-05,123.10528382658958,True
45,5.104795129044251,5.155526355940486,6.716417910447762e-05,120.2884130179882,True
46,4.609993955363398,5.123114882366882,6.865671641791044e-05,116.52184277772903,True
47,4.636193446552052,5.089326050649498,7.014925373134329e-05,119.18216943740845,True
48,4.778250865216525,5.061102960808023,7.164179104477612e-05,115.80020189285278,True
49,4.874695944362844,5.046789190026601,7.313432835820896e-05,119.99775841832161,True
50,4.943440012849135,5.030638908676553,7.462686567164179e-05,119.47576329112053,True
51,4.478638398938063,4.996273827648188,7.611940298507464e-05,119.60367113351822,True
52,4.559471842821907,4.960687628495483,7.761194029850747e-05,117.33163148164749,True
53,4.34429235043733,4.92531293588077,7.910447761194029e-05,118.87510865926743,True
54,5.232477970123291,4.927012273086629,8.059701492537314e-05,115.62074348330498,True
55,4.6851552582922436,4.91474195794883,8.208955223880597e-05,119.47008594870567,True
56,4.698562709022971,4.901731317882118,8.358208955223881e-05,119.04441192746162,True
57,4.790328576014592,4.8905370725423465,8.507462686567164e-05,119.87907439470291,True
58,4.275998254255815,4.862807382127435,8.656716417910449e-05,120.86688354611397,True
59,4.607042581185527,4.849772873655546,8.805970149253731e-05,117.1511821448803,True
60,4.813180392643191,4.831341662568326,8.955223880597016e-05,118.27894672751427,True
61,4.649707083376298,4.814461973068895,9.104477611940299e-05,126.42001733183861,True
